GEOID,InitialCluster,Megacluster
19057,Low,Low
19059,Low,Medium
19061,HighBalanced,High
19063,HighBalanced,Medium
19065,HighBalanced,Medium
19067,HighBalanced, Juggernauts
19069,HighBalanced, Juggernauts
19071,Medium,Low
19073,HighBalanced, Juggernauts
19075,HighBalanced,Medium
19077,Low,Medium
19079,HighBalanced, Juggernauts
19081,HighBalanced, Juggernauts
19083,HighBalanced, Juggernauts
19085,HighBalanced,Medium
19087,HighBalanced,Medium
19089,HighBalanced, Juggernauts
19091,HighBalanced,Medium
19093,HighBalanced,Medium
19095,HighBalanced,Medium
19097,HighBalanced,Medium
19099,HighBalanced,Medium
19101,HighBalanced,Low
19103,HighBalanced,Medium
19105,HighBalanced,Medium
19107,HighBalanced,Medium
19109,HighBalanced, Juggernauts
19111,HighBalanced,Low
19113,HighBalanced,Medium
19115,HighBalanced, Juggernauts
19117,Low,Low
19119,HighBalanced, Juggernauts
19121,Low,Low
19123,HighBalanced,Medium
19125,HighBalanced,Low
19127,HighBalanced,Medium
19129,Low,Low
19131,HighBalanced,Medium
19133,HighBalanced,Medium
19135,Low,Low
19137,Low,Low
19139,HighBalanced,Medium
19141,HighBalanced, Juggernauts
19143,HighBalanced, Juggernauts
19145,Low,Low
19147,HighBalanced, Juggernauts
19149,HighBalanced, Juggernauts
19151,HighBalanced, Juggernauts
19153,Low,Low
19155,HighBalanced,Medium
19157,Low,Medium
19159,Low,Medium
19161,HighBalanced,High
19163,HighBalanced, Juggernauts
19165,HighBalanced,Medium
19167,HighBalanced, Juggernauts
19169,HighBalanced,Medium
19171,HighBalanced,Medium
19173,Low,Medium
19175,Low,Medium
19177,Low,Low
19179,Low,Low
19181,Low,Low
19183,HighBalanced, Juggernauts
19185,Low,Medium
19187,HighBalanced,Medium
19189,HighBalanced,Medium
19191,HighBalanced,High
19193,HighBalanced,Medium
19195,HighBalanced,Medium
19197,HighBalanced, Juggernauts
21001,Low,Low
21003,Low,Low
21005,Low,Low
21007,Low,Low
21009,Low,Low
21011,Low,Low
21013,Low,Low
21015,Low,Low
21017,HighBalanced,Low
21019,Low,Low
21021,Low,Low
21023,Low,Low
21025,Low,Low
21027,Low,Low
21029,Low,Low
21031,Low,Low
21033,Low,Low
21035,Low,Low
21037,Low,Low
21039,Low,Low
21041,Low,Low
21043,Low,Low
21045,Low,Low
21047,Medium,Low
21049,Low,Low
21051,Low,Low
21053,Low,Low
21055,Low,Low
21057,Low,Low
21059,Medium,Low
21061,Low,Low
21063,Low,Low
21065,Low,Low
21067,Medium,Low
21069,Low,Low
21071,Low,Low
21073,Low,Low
21075,Low,Low
21077,Low,Low
21079,Low,Low
21081,Low,Low
21083,HighCons,Medium
21085,Low,Low
21087,Low,Low
21089,Low,Low
21091,Low,Low
21093,Low,Low
21095,Low,Low
21097,Low,Low
21099,Low,Low
21101,Medium,Low
21103,Low,Low
21105,HighBalanced,Medium
21107,Low,Medium
21109,Low,Low
21111,Low,Low
21113,Low,Low
21115,Low,Low
21117,Low,Low
21119,Low,Low
21121,Low,Low
21123,Low,Low
21125,Low,Low
21127,Low,Low
21129,Low,Low
21131,Low,Low
21133,Low,Low
21135,Low,Low
21137,Low,Low
21139,Low,Low
21141,Low,Low
21143,Low,Low
21145,Low,Low
21147,Low,Low
21149,HighBalanced,Medium
21151,Low,Low
21153,Low,Low
21155,Low,Low
21157,Low,Low
21159,Low,Low
21161,Low,Low
21163,Low,Low
21165,Low,Low
21167,Low,Low
21169,Low,Low
21171,Low,Medium
21173,Low,Low
21175,Low,Low
21177,Low,Low
21179,Low,Low
21181,Low,Low
21183,Low,Low
21185,Low,Low
21187,Low,Low
21189,Low,Low
21191,Low,Low
21193,Low,Low
21195,Low,Low
21197,Low,Low
21199,Low,Low
21201,Low,Low
21203,Low,Low
21205,Low,Low
21207,Low,Low
21209,Low,Low
21211,Low,Low
21213,Low,Low
21215,Low,Low
21217,Low,Low
21219,Low,Low
21221,Low,Low
21223,Low,Low
21225,Medium,Low
21227,Low,Low
21229,Low,Low
21231,Low,Low
21233,HighBalanced,Medium
21235,Low,Low
21237,Low,Low
21239,Low,Low
22001,Medium,Low
22003,Low,Low
22005,Low,Low
22007,Low,Low
22009,Medium,Low
22011,Low,Low
22013,Low,Low
22015,Low,Low
22017,Medium,Low
22019,Medium,Low
22021,Low,Low
22023,Low,Low
22025,Medium,Low
22027,HighBalanced,Low
22029,Medium,Low
22031,Low,Low
22033,Low,Low
22035,Medium,Low
22037,Low,Low
22039,Low,Low
22041,Medium,Low
22043,Low,Low
22045,Medium,Low
22047,Medium,Low
22049,HighBalanced,Low
22051,Low,Low
22053,Medium,Low
22055,Low,Low
22057,Medium,Low
22059,Low,Low
22061,HighBalanced,Medium
22063,Low,Low
22065,Medium,Low
22067,Medium,Low
22069,Medium,Low
22071,Low,Low
22073,Low,Low
22075,Low,Low
22077,Medium,Low
22079,Low,Low
22081,Low,Low
22083,Medium,Low
22085,HighBalanced,Low
22087,Low,Low
22089,Low,Low
22091,Low,Low
22093,Low,Low
22095,Low,Low
22097,Medium,Low
22099,Low,Low
22101,Low,Low
22103,Low,Low
22105,Low,Low
22107,Medium,Low
22109,Low,Low
22111,HighCons,Low
22113,Medium,Low
22115,Low,Low
22117,Low,Low
22119,Low,Low
22121,Low,Low
22123,Low,Low
22125,Low,Low
22127,Low,Low
27001,Low,Low
27003,Low,Low
27005,Medium,Low
27007,Low,Low
27009,Low,Medium
27011,Low,Medium
27013,HighBalanced, Juggernauts
27015,HighBalanced,Medium
27017,Low,Low
27019,Low,Low
27021,Low,Low
27023,Medium,Medium
27025,Low,Low
27027,Medium,Medium
27029,Low,Low
27031,Low,Low
27033,HighBalanced, Juggernauts
27035,Low,Low
27037,HighBalanced,Low
27039,HighBalanced,Medium
27041,Low,Low
27043,HighBalanced,Medium
27045,HighBalanced,Medium
27047,HighBalanced, Juggernauts
27049,HighBalanced,High
27051,Medium,Medium
27053,Low,Low
27055,Low,Medium
27057,Low,Low
27059,Low,Low
27061,Low,Low
27063,HighBalanced,Medium
27065,Low,Low
27067,HighBalanced,Medium
27069,Medium,Low
27071,Low,Low
27073,Low,Medium
27075,Low,Low
27077,Medium,Low
27079,HighBalanced,Medium
27081,Low,Medium
27083,HighBalanced,High
27085,Low,Medium
27087,Medium,Low
27089,Medium,Medium
27091,HighBalanced, Juggernauts
27093,Low,Medium
27095,Low,Low
27097,HighBalanced,High
27099,HighBalanced, Juggernauts
27101,HighBalanced,Medium
27103,HighBalanced,Medium
27105,HighBalanced,High
27107,Medium,Medium
27109,HighBalanced,Low
27111,HighBalanced,Medium
27113,Medium,Low
27115,Low,Low
27117,HighBalanced,High
27119,Medium,Medium
27121,Medium,Medium
27123,Low,Low
27125,Medium,Low
27127,HighBalanced,High
27129,HighBalanced,Medium
27131,HighBalanced,Medium
27133,HighBalanced, Juggernauts
27135,Medium,Low
27137,Low,Low
27139,Low,Low
27141,Low,Low
27143,HighBalanced,Medium
27145,HighBalanced,High
27147,Low, Juggernauts
27149,HighBalanced,High
27151,Medium,High
27153,Low,High
27155,Medium,Medium
27157,HighBalanced,Medium
27159,Low,Low
27161,HighBalanced, Juggernauts
27163,Low,Low
27165,HighBalanced, Juggernauts
27167,Medium,Low
27169,HighBalanced,Medium
27171,Low,Low
27173,HighBalanced,Medium
28001,Low,Low
28003,Low,Low
28005,HighBalanced,Medium
28007,Low,Low
28009,Low,Low
28011,Medium,Low
28013,Low,Low
28015,Low,Low
28017,Medium,Low
28019,Low,Low
28021,Low,Low
28023,Low,Low
28025,Low,Low
28027,Medium,Low
28029,HighBalanced,Medium
28031,HighBalanced,Medium
28033,Medium,Low
28035,Low,Low
28037,Low,Low
28039,Low,Low
28041,Low,Low
28043,Low,Low
28045,Low,Low
28047,Low,Low
28049,Medium,Low
28051,Medium,Low
28053,Medium,Low
28055,Medium,Low
28057,Low,Low
28059,Low,Low
28061,HighBalanced,Medium
28063,Low,Low
28065,Low,Low
28067,HighBalanced,Medium
28069,Low,Low
28071,Low,Low
28073,Low,Low
28075,Low,Low
28077,HighBalanced,Medium
28079,HighCons,Medium
28081,Low,Low
28083,Medium,Low
28085,Low,Low
28087,Low,Low
28089,Medium,Low
28091,HighBalanced,Low
28093,Low,Low
28095,Low,Low
28097,Low,Low
28099,HighCons,Low
28101,HighBalanced,Low
28103,Medium,Medium
28105,Low,Low
28107,Medium,Low
28109,Low,Low
28111,Low,Low
28113,HighBalanced,Low
28115,Low,Low
28117,Low,Low
28119,Medium,Low
28121,HighBalanced,Low
28123,HighCons,Low
28125,Medium,Low
28127,HighCons,Low
28129,HighCons,Low
28131,Low,Low
28133,Medium,Low
28135,Medium,Low
28137,Low,Low
28139,Low,Low
28141,Low,Low
28143,Medium,Low
28145,Low,Low
28147,HighBalanced,Low
28149,Low,Low
28151,Medium,Low
28153,HighCons,Low
28155,Low,Low
28157,Low,Low
28159,Low,Medium
28161,Low,Low
28163,Medium,Low
29001,Low,Low
29003,Low,Low
29005,Low,Medium
29007,Low,Medium
29009,HighCons,High
29011,Low,Low
29013,Low,Medium
29015,Low,Low
29017,Low,Low
29019,Low,Low
29021,Low,Low
29023,Low,Medium
29025,Low,Low
29027,Low,Low
29029,Low,Low
29031,Low,Low
29033,Medium,Medium
29035,Low,Low
29037,Low,Low
29039,Low,Low
29041,Medium,Low
29043,Low,Low
29045,Low,Low
29047,Low,Low
29049,Low,Low
29051,Low,Low
29053,Low,Medium
29055,Low,Low
29057,Low,Low
29059,HighCons,Low
29061,Medium, Juggernauts
29063,Low,Low
29065,Low,Low
29067,Low,Low
29069,Medium,Medium
29071,Low,Low
29073,Low,Low
29075,Low,Low
29077,Low,Low
29079,Low,Low
29081,Low,Low
29083,Low,Low
29085,Low,Low
29087,Low,Low
29089,Low,Low
29091,Low,Low
29093,Low,Low
29095,Low,Low
29097,HighCons,Low
29099,Low,Low
29101,Low,Low
29103,Low,Medium
29105,Low,Low
29107,HighBalanced,Low
29109,HighBalanced,High
29111,Low,Low
29113,Low,Low
29115,Low,Low
29117,Medium,Low
29119,HighBalanced,Low
29121,Medium,Medium
29123,Low,Low
29125,Low,Low
29127,Low,Low
29129,Low,Low
29131,HighCons,Medium
29133,Medium,Low
29135,HighCons,High
29137,Low,Low
29139,Low,Low
29141,HighCons,Medium
29143,Medium,Medium
29145,HighCons,Medium
29147,Medium,Low
29149,Low,Low
29151,HighCons,Low
29153,Low,Low
29155,Medium,Medium
29157,Low,Low
29159,HighBalanced,Medium
29161,Low,Low
29163,Low,Low
29165,Low,Low
29167,HighCons,Low
29169,Low,Low
29171,Low,Medium
29173,Low,Low
29175,Low,Low
29177,Low,Low
29179,Low,Low
29181,Low,Low
29183,Low,Low
29185,Low,Low
29186,Low,Low
29187,Low,Low
29189,Low,Low
29195,Medium,Medium
29197,Low,Low
29199,Low,Medium
29201,Medium,Medium
29203,Low,Low
29205,Low,Low
29207,Medium,Medium
29209,Low,Low
29211,Low, Juggernauts
29213,Low,Low
29215,Low,Low
29217,HighBalanced,Medium
29219,Low,Low
29221,Low,Low
29223,Low,Low
29225,Low,Low
29227,Low,Low
29229,Low,Low
39001,Low,Low
39003,Low,Medium
39005,Low,Low
39007,Low,Low
39009,Low,Low
39011,HighBalanced,Medium
39013,Low,Low
39015,Low,Low
39017,Low,Low
39019,Low,Low
39021,Low,Low
39023,Medium,Low
39025,Low,Low
39027,Low,Low
39029,Low,Low
39031,Low,Low
39033,Low,Medium
39035,Low,Low
39037,HighCons, Juggernauts
39039,Low,Low
39041,Low,Low
39043,Low,Low
39045,Low,Low
39047,Medium,Low
39049,Low,Low
39051,HighBalanced,Low
39053,Low,Low
39055,Low,Low
39057,Low,Low
39059,Low,Low
39061,Low,Low
39063,Low,Low
39065,Low,Medium
39067,Low,Low
39069,Low,Low
39071,Low,Low
39073,Low,Low
39075,Low,Medium
39077,Medium,Medium
39079,Low,Low
39081,Low,Low
39083,Low,Medium
39085,Low,Low
39087,Low,Low
39089,Low,Low
39091,Medium,Low
39093,Medium,Low
39095,Low,Low
39097,Medium,Low
39099,Low,Low
39101,Medium,Medium
39103,Low,Low
39105,Low,Low
39107,HighCons, Juggernauts
39109,Low,Low
39111,Low,Low
39113,Low,Low
39115,Low,Low
39117,Low,Low
39119,Low,Low
39121,Low,Low
39123,Low,Low
39125,Low,Medium
39127,Low,Low
39129,Medium,Low
39131,Low,Low
39133,Low,Low
39135,HighBalanced,Low
39137,HighBalanced,Medium
39139,Low,Medium
39141,Low,Low
39143,Low,Low
39145,Low,Low
39147,Low,Low
39149,HighBalanced,Medium
39151,Low,Low
39153,Low,Low
