"","totMarkValue_1997","perBigMark1997","opgr500k_1997","opgr2000acres_1997","cattlegr500_1997","ophogsgr1000_1997","broilgr500000_2002","layergr100000_2002","turkeyContracts_2002","Adens_Int","cluster"
"17013",18011000,28.6713675,6,5,0,5,0,0,0,17.08527976,"2"
"17015",127851000,52.96869012,62,12,24,21,0,0,0,61.35505664,"1"
"17017",73694000,52.7736315,24,11,1,12,0,0,0,50.19377944,"2"
"17019",190880000,22.86567477,58,20,2,5,0,0,0,5.637793785,"1"
"17021",123046000,35.79067991,59,29,0,11,0,0,0,10.14736305,"1"
"17023",62825000,30.60883406,25,27,0,10,0,0,0,12.60438684,"1"
"17025",49577000,25.66714404,15,10,0,5,0,0,0,14.92170443,"2"
"17027",107204000,40.77179956,40,8,7,19,0,1,0,80.20414192,"1"
"17029",73402000,18.34827389,20,11,1,1,0,0,0,7.87191383,"2"
"17031",21436000,60.84623997,9,3,0,0,0,0,0,0.113558213,"2"
"17033",51892000,28.74431512,18,15,1,6,0,0,4,12.44042504,"2"
"17035",53730000,30.87102178,21,4,1,13,0,0,0,28.64409175,"2"
"17037",186543000,51.92368516,87,23,12,39,0,0,0,59.54200141,"1"
"17039",69236000,24.62013981,21,11,0,2,0,0,0,8.914883164,"2"
"17041",81323000,21.20802233,26,9,0,4,0,0,0,10.67042296,"2"
"17043",17660000,67.87089468,7,1,0,0,0,0,0,0.173583023,"2"
"17045",165293000,56.08162475,34,20,0,5,0,0,0,21.96673016,"1"
"17047",27502000,26.99076431,11,7,0,9,0,0,0,27.92529965,"2"
"17049",79926000,19.46050096,20,6,1,22,0,0,0,43.64569236,"1"
"17051",71808000,21.62572415,19,15,0,6,0,0,0,12.79647027,"2"
"17053",99614000,32.90400948,43,16,1,11,0,0,0,15.73599153,"2"
"17055",31660000,24.90524321,11,15,0,5,0,0,2,16.78363829,"2"
"17057",99701000,22.54039578,26,22,3,11,0,0,0,24.12473197,"1"
"17059",45284000,57.25421783,23,21,0,2,0,0,0,6.83495731,"1"
"17061",105750000,48.10591017,29,19,0,14,0,0,0,52.37152728,"1"
"17063",59864000,21.51042363,20,10,1,4,0,0,0,6.271788506,"2"
"17065",38956000,36.98018277,17,18,0,2,0,0,0,11.58544101,"2"
"17067",128148000,28.74488872,44,15,4,24,0,0,0,32.70013482,"1"
"17069",3230000,0,1,2,0,1,0,0,0,12.49390869,"2"
"17071",61937000,22.06274117,20,10,8,6,0,0,0,32.00270177,"2"
"17073",182903000,31.52818707,64,12,6,64,0,0,0,58.78551982,"1"
"17075",239725000,34.53832516,74,27,2,10,0,1,0,13.02061866,"1"
"17077",37734000,36.64069539,18,20,2,2,0,0,0,13.04924092,"2"
"17079",86464000,29.14507772,29,6,0,39,0,0,0,36.77211825,"1"
"17081",35424000,18.14588979,10,12,0,2,0,0,3,12.69401482,"2"
"17083",39929000,23.78221343,11,10,1,1,0,0,0,19.00393748,"2"
"17085",75002000,21.01677289,20,13,12,7,0,0,0,49.38457603,"2"
"17087",10528000,0,2,4,5,2,0,0,0,23.95786848,"2"
"17089",124534000,55.93171343,53,9,6,11,0,0,0,18.0390064,"1"
"17091",133958000,41.34280894,55,19,3,5,0,1,0,10.97411405,"1"
"17093",59280000,34.06545209,22,4,2,4,0,0,0,19.64861867,"2"
"17095",131430000,44.52408126,63,21,7,37,0,0,0,41.12876799,"1"
"17097",32402000,56.94092957,15,3,1,0,0,0,0,1.502804775,"2"
"17099",186724000,20.15862985,46,10,5,12,0,0,0,9.951570788,"1"
"17101",55234000,48.56247963,22,13,0,9,0,0,7,19.65130188,"2"
"17103",142056000,31.42000338,50,17,12,11,0,0,0,18.20383477,"1"
"17105",214722000,22.39919524,50,13,0,40,0,0,0,25.31092833,"1"
"17107",133337000,31.66337926,54,14,1,23,0,0,0,26.90579104,"1"
"17109",99211000,30.99353902,44,10,1,11,0,0,0,15.97725805,"2"
"17111",112897000,49.68954002,52,20,12,8,0,0,0,22.54785438,"1"
"17113",240032000,30.16306159,94,34,3,25,0,0,0,13.84366093,"1"
"17115",106407000,29.18792937,41,19,1,2,0,0,0,5.455534411,"1"
"17117",125191000,31.04536269,40,16,11,25,0,0,0,29.88062242,"1"
"17119",86826000,25.12841776,22,8,1,8,0,0,0,17.93168257,"2"
"17121",55005000,27.42659758,6,9,1,3,0,1,0,11.27127443,"2"
"17123",68326000,22.30190557,21,12,3,4,0,0,0,15.05955225,"2"
"17125",83390000,36.28372707,39,20,0,8,0,0,0,13.66619446,"1"
"17127",20221000,25.56747935,6,5,7,1,0,0,0,31.02919152,"2"
"17129",52767000,32.77995717,22,10,1,10,0,0,0,24.01642405,"2"
"17131",92911000,31.49465618,38,21,1,22,0,0,0,24.4355563,"1"
"17133",49827000,26.65422361,15,10,2,14,0,0,0,29.64998165,"2"
"17135",109196000,26.87186344,31,10,2,16,0,0,0,19.19367028,"1"
"17137",96849000,30.88725748,33,11,3,22,0,0,0,29.73713033,"1"
"17139",56494000,28.21184551,21,11,0,5,0,0,0,10.78076524,"2"
"17141",152867000,38.62050017,63,16,16,21,0,0,0,35.65133955,"1"
"17143",78785000,28.55619725,26,10,2,7,0,0,0,15.35782744,"2"
"17145",28931000,12.51944281,6,9,1,1,0,0,0,13.17370563,"2"
"17147",84140000,30.38150701,34,10,0,6,0,0,0,8.571672838,"2"
"17149",123214000,48.26399597,59,35,1,41,0,0,0,28.31952307,"1"
"17151",4819000,0,1,2,1,1,0,0,0,9.11049985,"2"
"17153",15589000,20.02694207,4,7,0,0,0,0,0,12.37795402,"2"
"17155",41824000,56.5966909,8,3,0,2,0,0,0,13.81633558,"2"
"17157",50565000,12.36626125,9,11,2,3,0,0,0,19.66819927,"2"
"17159",60710000,47.06143963,30,12,0,14,0,0,5,34.68715846,"2"
"17161",50331000,27.52776619,19,6,0,15,0,0,0,24.11351356,"2"
"17163",78109000,30.50480738,25,13,0,9,0,0,0,11.8568528,"2"
"17165",33338000,35.20007199,10,9,0,8,0,0,0,19.05276708,"2"
"17167",163426000,46.8591289,75,37,0,14,0,0,0,16.00285686,"1"
"17169",39803000,27.87478331,13,13,1,5,0,0,0,20.73189563,"2"
"17171",34651000,26.08005541,12,9,0,3,0,0,0,19.74667259,"2"
"17173",112705000,22.4187037,29,13,2,14,0,0,0,20.44252668,"1"
"17175",65697000,37.29241822,29,8,0,8,0,0,0,20.88598155,"2"
"17177",144030000,32.90564466,45,9,5,21,0,1,0,65.87250757,"1"
"17179",123848000,33.86489891,53,15,0,36,0,0,0,28.03755793,"1"
"17181",20591000,40.69253557,7,6,1,0,0,0,0,16.68871126,"2"
"17183",140760000,28.58198352,53,30,1,5,0,0,0,7.283386534,"1"
"17185",31024000,29.97679216,13,13,0,3,0,0,0,15.81682704,"2"
"17187",106884000,29.41693799,43,10,5,15,0,0,0,28.45461972,"1"
"17189",88348000,23.8103862,26,8,0,19,0,0,0,30.24891586,"1"
"17191",71302000,38.69035932,32,21,2,13,0,0,6,22.25111251,"2"
"17193",61545000,56.5439922,35,39,0,5,0,0,0,10.40999577,"1"
"17195",160477000,37.38105772,62,15,13,25,0,0,0,41.50862185,"1"
"17197",108315000,36.943175,29,13,0,7,0,0,0,6.615430916,"2"
"17199",11545000,0,2,3,0,1,0,0,0,10.84445939,"2"
"17201",68580000,29.12510936,27,10,3,6,0,0,0,18.87812168,"2"
"17203",107765000,28.72546745,32,9,0,27,0,0,0,28.34714874,"1"
"18001",96691000,30.59850451,34,8,1,26,0,3,1,65.74681499,"1"
"18003",93470000,27.37027923,35,9,10,12,0,0,0,20.95033026,"2"
"18005",47358000,21.03762828,14,6,0,7,0,0,0,14.64197907,"2"
"18007",80344000,27.29264164,31,11,1,2,0,0,0,5.539502938,"2"
"18009",25229000,36.10527567,8,10,0,6,0,0,0,33.41556885,"2"
"18011",81525000,44.4109169,42,13,1,18,0,0,4,28.63748809,"2"
"18013",2300000,0,0,0,0,0,0,0,0,2.93341057,"2"
"18015",118519000,58.83191725,61,12,0,60,0,0,0,103.6654352,"1"
"18017",79640000,42.41838272,40,11,3,23,0,0,0,34.98212477,"1"
"18019",22988000,9.813815904,4,1,2,1,1,0,1,15.59131311,"2"
"18021",43044000,27.62986711,12,5,1,8,0,0,1,15.59578292,"2"
"18023",106586000,47.99035521,53,9,0,40,0,2,1,75.98221347,"1"
"18025",3843000,0,0,0,0,0,0,0,0,10.62113363,"2"
"18027",119736000,50.93789671,60,16,3,39,0,0,32,83.82750982,"3"
"18029",9499000,0,1,0,0,0,0,0,0,14.52217518,"2"
"18031",83916000,40.38324038,38,4,3,39,0,0,0,72.49261661,"1"
"18033",39556000,32.7839013,16,5,4,3,0,0,0,18.8873976,"2"
"18035",53404000,40.93513594,24,15,0,5,0,0,0,14.0773953,"2"
"18037",144638000,65.9183617,65,7,1,32,0,5,46,91.8930746,"3"
"18039",130746000,33.74405336,44,3,1,19,0,0,0,68.18632202,"1"
"18041",26473000,8.291466777,3,2,1,8,0,0,0,31.1642836,"2"
"18043",4083000,0,0,0,0,0,0,0,0,10.20516614,"2"
"18045",48828000,21.97100025,13,7,0,4,0,0,0,16.75366258,"2"
"18047",31869000,11.0828705,6,0,1,12,0,0,0,30.05763773,"2"
"18049",56363000,25.61254724,15,5,0,8,0,0,0,24.66767054,"2"
"18051",69899000,28.44675889,25,18,0,9,0,0,2,15.98435011,"2"
